#  ID, log_mass_16, log_mass_50, log_mass_84, log_sfr_16, log_sfr_50, log_sfr_84 
# 
17232.0000000 9.2016019 9.2933054 9.5819681 -0.2538813 0.8302860 1.0449316
17244.0000000 10.0701976 10.3683215 10.4982607 0.7695892 1.2370000 1.6717376
17253.0000000 9.3624800 9.4623448 9.6465907 -0.9074402 0.4302364 0.7058322
17264.0000000 9.7771628 9.8750000 10.0151059 0.7708741 1.2613963 1.5595964
17375.0000000 10.0251847 10.1092958 10.2516128 -0.1761225 1.4238027 1.5857366
17417.0000000 11.4829961 11.5890000 11.7480181 -11.6998582 -0.7520267 0.1191739
17421.0000000 8.9890783 9.1952250 9.3761820 0.6506326 1.0024500 1.3146966
17432.0000000 10.8840997 11.0050000 11.1478532 -1.0555419 -0.4054111 -0.0385924
17473.0000000 9.3345376 9.4010000 9.6011301 0.4155359 0.7470000 0.8909200
17651.0000000 9.3152907 9.4362220 9.7350481 0.6846913 1.1804126 1.2944573
17842.0000000 9.5469352 9.6000000 9.7996994 0.5010600 0.8974871 1.3384800
18047.0000000 10.4672659 10.6407443 10.7645291 -4.6596024 -2.3511200 -0.6439695
18129.0000000 10.3908057 10.5270000 10.6528081 -6.2041923 -2.1000000 -0.9015060
18131.0000000 9.9947140 10.0846611 10.1933650 1.1215719 1.4467211 1.6053200
18145.0000000 8.7535690 8.8604971 9.1174814 0.1246956 0.5130044 1.1183064
18159.0000000 10.8397169 11.1050000 11.1705172 1.0672548 1.2876501 1.8698014
18325.0000000 10.3292490 10.4500000 10.6313046 1.1989930 1.5270000 1.8013691
18374.0000000 8.8044910 8.9179071 9.0385738 0.2777296 0.6520000 1.1734166
18379.0000000 9.5144968 9.5769362 9.6560037 0.4718320 0.8409552 1.3652000
18404.0000000 9.0444168 9.1382336 9.2521574 -0.5298076 0.2226384 0.5777894
18412.0000000 8.8498088 8.8979436 9.1278847 0.2604008 0.4823580 1.1016400
18442.0000000 9.2315351 9.3743368 9.4601318 0.3662326 0.7919780 1.1492800
18571.0000000 8.8456200 9.0165000 9.1916150 0.0586684 0.3367316 0.8808800
18618.0000000 9.5931871 9.6811716 9.8130116 0.1141376 0.4275537 1.5994069
18660.0000000 10.1316120 10.2531826 10.3544215 0.4890445 0.9568568 1.4361455
18714.0000000 10.2136134 10.4239368 10.5088539 0.5179284 1.1090000 1.4146704
18731.0000000 9.3060834 9.4028767 9.5384978 0.0300000 0.2933146 0.6583632
18766.0000000 9.9268161 10.1044420 10.2490544 -1.3607305 0.5723720 1.3611512
18820.0000000 10.3755789 10.6150906 10.7218396 1.3087537 1.7570000 2.1774411
18907.0000000 9.5907768 9.7360000 9.8976887 0.2321447 0.5783140 0.9852126
18940.0000000 10.1180058 10.2093436 10.3491402 -6.8114500 -2.0605307 -0.2538053
18945.0000000 9.1619195 9.2490767 9.4304698 0.0969241 0.3471348 1.4251200
19132.0000000 8.9822976 9.0745348 9.1757420 -0.3258471 0.2019431 0.8172744
19135.0000000 9.7802566 9.8778563 10.0850614 0.1406970 1.0748895 1.3362767
19175.0000000 8.9861792 9.1371494 9.2949953 0.3183856 0.6970000 1.0374118
19201.0000000 9.1163466 9.2440037 9.3626283 -0.0283095 0.2263757 0.7688000
19421.0000000 10.1213737 10.2708253 10.5098086 0.6912878 1.1854257 1.5689164
19507.0000000 10.3286589 10.4882990 10.7596000 0.1688600 0.9560600 1.8747212
19632.0000000 9.8516410 9.9175351 10.1495381 0.8475571 1.3270000 1.5047868
20065.0000000 9.1109602 9.1976922 9.4007530 0.5474006 0.6641905 1.0669400
20167.0000000 9.8550238 9.8956700 10.2351115 0.9069908 1.5448531 1.6426756
20260.0000000 9.5241080 9.6790000 9.7895846 0.1381991 0.6110748 1.2300241
20343.0000000 9.6292380 9.7500276 9.8585073 0.5987702 0.9300000 1.1896844
20538.0000000 9.4193168 9.5375750 9.6278637 0.4742437 0.7872621 1.1580756
20626.0000000 9.4778376 9.6052766 9.7764914 0.4263552 0.8018825 1.0166963
20638.0000000 10.3318730 10.5350000 10.6771564 1.0776995 1.3248671 1.7500518
20662.0000000 9.0242771 9.1162307 9.2804811 -0.0119522 0.2437819 0.4761006
20859.0000000 8.9948800 9.0429627 9.2382600 -0.1739835 0.0057507 0.2952257
21037.0000000 10.1594581 10.2891692 10.5375617 0.2034731 1.3104657 1.7335701
21173.0000000 9.4301654 9.5357763 9.6541720 0.1488508 0.4732533 0.9380675
21200.0000000 9.1696138 9.2420000 9.3781666 -0.2269449 -0.0105342 0.6353007
21225.0000000 9.2697716 9.3655074 9.5404854 0.1805904 0.4059012 0.7523714
21314.0000000 8.8445364 8.9730000 9.1430851 0.1317423 0.3363752 1.1921168
21328.0000000 9.4645007 9.7305929 9.9327746 0.4044999 1.3288000 1.4042313
21378.0000000 9.2816939 9.4276052 9.7028282 0.1775827 1.2240000 1.3462070
21707.0000000 10.3190000 10.4619505 10.6154280 0.5097005 1.3156770 1.7138112
21771.0000000 10.6785789 10.7460000 10.8884230 -25.7287626 -3.0000000 -1.1106542
21893.0000000 10.2846428 10.3830000 10.4763284 -6.6072910 -2.0965400 -0.1097345
21925.0000000 10.8240285 10.9100000 11.0907433 -3.5977680 -0.8100000 0.4440441
21962.0000000 9.2684800 9.3821689 9.5478412 0.1766091 0.6211256 0.9945925
21970.0000000 9.0648976 9.2290000 9.4065571 -0.8450592 0.1535405 0.6648657
22001.0000000 11.1639157 11.2775000 11.3973527 -5.6090033 -1.0924295 0.5089326
22058.0000000 10.4477864 10.7100000 10.8458306 0.6638640 0.9375300 1.6136080
22172.0000000 9.6364507 9.8870000 10.5182983 -4.2085337 1.7142431 2.0575401
22278.0000000 10.2977919 10.4402874 10.5930174 0.5730697 0.8939860 1.3726743
22311.0000000 8.7922544 8.9408474 9.0574382 -0.3485567 0.1320034 0.2857090
22342.0000000 9.8966494 9.9748951 10.1550046 -0.1510438 0.7286928 0.9996277
22370.0000000 10.6263920 10.7862644 10.9972734 0.4610253 1.9462295 2.1952284
22384.0000000 10.0137131 10.0979371 10.3505908 0.5839800 1.2997738 1.4587244
22455.0000000 9.9903170 10.2862388 10.4803893 0.4606779 1.6770000 1.9682155
22631.0000000 8.9233188 9.0420000 9.1749721 -0.0960819 0.1230018 0.5662473
22696.0000000 9.1008345 9.1671364 9.3296693 -0.1566798 0.0900000 1.0280971
22726.0000000 8.8974041 8.9482466 9.0929241 -0.0937351 0.2099303 0.5415122
22794.0000000 9.8389911 10.0565000 10.1346923 -3.7466680 -0.0746879 0.5783768
22803.0000000 9.1984152 9.2987708 9.4694470 0.2934481 0.5100000 1.3635072
22832.0000000 9.4655881 9.5370521 9.6247884 -0.4934625 0.4107772 0.8146106
22833.0000000 10.4253309 10.5177500 10.6883673 0.5618401 1.1470000 1.5865920
22846.0000000 10.3214309 10.3843179 10.4186482 -1.3739691 -0.6279135 -0.0712223
22856.0000000 9.9293420 9.9792247 10.1686061 0.4479864 1.0333956 1.4006708
22918.0000000 10.6097272 10.7770000 10.9231163 -3.9045631 -1.5715412 -0.5040257
23052.0000000 9.9425608 9.9847027 10.1536467 0.8938652 1.2699797 1.5818928
23085.0000000 8.9130417 9.0871404 9.3700821 0.2254822 0.7320000 1.0213558
23155.0000000 9.1429450 9.2651069 9.4073511 0.1717659 0.4600000 1.2481692
23249.0000000 9.5353961 9.6761984 9.9424000 0.0469600 0.4018826 1.1954640
23315.0000000 9.9105479 10.1550000 10.1837329 -0.4991764 0.4939014 0.8415073
23350.0000000 9.3974988 9.5769026 9.6661355 -0.7604259 -0.3799703 0.5297526
23440.0000000 10.0059169 10.1502002 10.3711882 0.9420370 1.2527802 1.3735391
23450.0000000 9.2121499 9.2691505 9.4614569 0.4663047 0.8620000 1.2856800
23490.0000000 9.6709941 9.8440000 9.8769613 -0.8737462 0.0705273 0.8049290
23569.0000000 9.1705696 9.3099798 9.5487390 0.2982623 0.7736861 1.1764398
23578.0000000 10.3178828 10.3576000 10.5305592 -1.1150700 -0.4780000 0.8978981
23684.0000000 9.3853000 9.4916881 9.6511979 -0.3303947 0.6886245 0.9425729
23719.0000000 8.9983059 9.1089669 9.2287523 0.0384439 0.3882078 0.5904806
23760.0000000 10.3886521 10.5850000 10.6878400 -0.3957155 0.4926279 0.8093200
23794.0000000 10.5228000 10.5803949 10.7388540 -0.1401575 0.0052668 0.9230296
23816.0000000 9.0043855 9.0879374 9.2253883 -0.1546869 0.5978686 0.9448000
23843.0000000 9.3851868 9.5200000 9.7719976 0.4195905 0.7470000 1.1321077
23850.0000000 8.7736568 8.9964175 9.1543689 0.1803785 0.3636466 0.9672000
23854.0000000 9.5191725 9.7495000 10.0944670 1.0939206 1.4674157 1.7740660
23881.0000000 9.5017065 9.6213996 9.7042815 -0.1827600 0.2143934 0.4211928
23902.0000000 8.7905093 8.9122798 9.1960757 0.3229338 0.6713615 0.8547762
23926.0000000 10.0830887 10.2033630 10.3922129 0.1174306 1.0320000 1.2890223
23940.0000000 9.0996933 9.1946362 9.3985560 0.2929789 0.6231802 1.1397600
24065.0000000 8.6735934 8.8200000 8.9680214 0.2552608 0.5100916 1.0770800
24129.0000000 10.7376578 10.8698960 10.9147625 0.3882693 0.8060009 1.3565628
24143.0000000 9.2102509 9.2560000 9.4376619 0.1369182 0.3278900 0.8673272
24184.0000000 10.2191843 10.3615495 10.5029239 0.7921480 1.2581623 1.5357512
24256.0000000 9.4434018 9.5776071 9.7915879 0.5598569 0.8859100 1.0598660
24312.0000000 9.9110602 10.0971665 10.1495856 0.1007749 0.4600746 1.3036880
24315.0000000 10.1389842 10.2695000 10.3937129 1.1155819 1.4349797 1.6766878
24335.0000000 9.1731209 9.3221587 9.3658703 -0.4716110 -0.2936796 0.6997878
24347.0000000 10.7555705 10.9257974 11.0265422 -5.9397094 -1.4063817 0.2078151
24353.0000000 10.1928762 10.3760514 10.4896248 0.8572916 1.2446700 1.6617688
