# ID    tau_v16   tau_v50   tau_v84   age_mw16   age_mw50   age_mw84   Mstar16   Mstar50   Mstar84   SFR16_7   SFR50_7   SFR84_7   SFR16_8   SFR50_8   SFR84_8 Av Av_std 
  17233         0.862   3.827   3.827   7.875   7.875   8.875   9.237   9.237   9.362 1.097   1.182   1.182 1.097   1.187   1.187 0.9325 0.0193756619242 
  17245         3.072   3.072   3.982   8.975   9.025   9.175   10.360   10.380   10.490 0.912   1.007   1.177 0.997   1.017   1.252 2.14625 0.0433494668364 
  17254         0.377   1.297   2.762   9.025   9.125   9.225   9.432   9.497   9.577 0.033   0.057   0.147 0.023   0.057   0.157 0.13 0.00514627049425 
  17265         0.947   0.947   2.152   8.325   8.675   8.675   9.792   9.822   9.852 0.957   0.972   1.127 0.962   0.982   1.137 0.37 0.00986268726058 
  17376         1.852   1.852   1.852   8.775   8.775   8.775   10.120   10.130   10.140 1.157   1.167   1.177 1.162   1.172   1.182 0.45 0.0119549738603 
  17418         0.002   0.002   0.002   7.075   7.075   7.075   7.002   7.002   7.002 2.998   2.998   2.998 2.998   2.998   2.998 0.23875 0.00490732870307 
  17422         0.387   0.387   0.387   8.325   8.325   8.325   9.092   9.102   9.117 0.587   0.597   0.612 0.592   0.602   0.617 0.1575 0.00449965276438 
  17433         1.827   2.937   2.937   9.225   9.225   9.525   11.190   11.190   11.250 0.457   0.882   0.887 0.472   0.887   0.892 2.0 0.0371698802796 
  17474         3.492   3.492   4.422   7.875   7.875   8.025   9.307   9.317   9.387 1.142   1.212   1.217 1.157   1.217   1.222 1.3275 0.025816891273 
  17652         0.552   2.487   2.487   8.125   8.125   8.125   9.387   9.397   9.412 1.067   1.077   1.092 1.072   1.082   1.092 0.3275 0.00880483389963 
  1772         4.152   4.152   4.152   9.275   9.275   9.275   9.822   9.832   9.842 0.267   0.277   0.287 0.272   0.277   0.287 1.6875 0.0345100604897 
  17843         0.017   0.017   3.592   8.175   9.325   9.325   9.507   9.717   9.732 0.483   0.473   1.132 0.717   0.732   1.137 0.73 0.0151372677521 
  18048         3.197   3.197   3.197   9.325   9.325   9.325   10.660   10.660   10.670 0.423   0.418   0.413 0.413   0.408   0.403 0.76 0.0143610793466 
  18130         0.002   0.002   0.002   7.075   7.075   7.075   7.002   7.002   7.002 2.998   2.998   2.998 2.998   2.998   2.998 0.5375 0.0100714944273 
  18132         3.837   3.837   3.837   8.625   8.625   8.625   10.150   10.170   10.170 1.292   1.307   1.307 1.302   1.317   1.317 1.19 0.0254093467055 
  18146         0.912   0.912   0.912   8.275   8.275   8.275   8.937   8.937   8.937 0.502   0.502   0.502 0.502   0.502   0.502 0.8375 0.0165068046575 
  18160         1.957   1.957   1.957   9.125   9.125   9.125   11.030   11.030   11.030 1.342   1.347   1.347 1.342   1.347   1.347 1.095 0.023592835777 
  1826         0.152   0.517   1.587   8.125   8.475   8.925   8.697   8.827   8.877 1.693   0.237   0.402 0.247   0.402   0.457 0.715 0.0159526322279 
  18326         1.092   3.372   3.372   8.875   9.075   9.125   10.400   10.520   10.570 1.152   1.217   1.222 1.152   1.232   1.237 0.555 0.0149696852004 
  18375         1.332   1.332   2.947   8.025   8.125   8.125   8.727   8.737   8.817 0.602   1.007   1.012 0.517   0.527   0.607 0.6975 0.0191584674491 
  18380         2.967   2.967   2.967   8.325   8.325   8.575   9.542   9.552   9.587 0.832   0.982   0.987 0.842   0.997   1.002 1.0325 0.0208604889684 
  18405         1.102   1.662   2.252   8.325   8.575   8.725   9.017   9.042   9.057 0.122   0.242   0.462 0.132   0.252   0.472 0.37 0.00929026910267 
  18413         0.362   0.387   1.187   8.325   8.475   8.525   8.827   8.912   8.927 0.222   0.237   0.297 0.202   0.242   0.302 0.3175 0.00639897452722 
  18443         0.387   0.927   0.927   8.675   8.675   8.975   9.192   9.192   9.322 0.177   0.287   0.292 0.182   0.297   0.302 0.1475 0.00510138216565 
  1848         1.942   2.317   2.792   8.825   8.875   9.025   10.600   10.660   10.680 1.432   1.567   1.637 1.432   1.577   1.637 1.705 0.0356981270517 
  1851         1.857   2.082   3.487   9.175   9.375   9.525   10.780   10.930   10.960 0.158   0.002   0.662 0.143   0.017   0.667 1.2375 0.0236839798176 
  18572         1.302   1.302   2.617   8.475   8.475   8.475   8.902   8.912   8.927 0.242   0.257   0.272 0.252   0.267   0.282 0.315 0.00821954378296 
  18619         1.697   3.487   3.487   8.825   9.025   9.175   9.717   9.787   9.842 0.342   0.447   0.472 0.362   0.447   0.472 1.1425 0.0229573838884 
  1862         1.917   3.462   3.992   8.625   8.675   8.875   10.030   10.060   10.120 0.212   0.687   1.032 0.217   0.692   1.052 1.37 0.0263208016595 
  18661         2.027   2.942   4.567   9.075   9.125   9.275   10.290   10.340   10.410 0.702   0.747   0.922 0.717   0.762   0.927 1.415 0.0298023002468 
  18715         3.037   3.037   3.672   9.175   9.175   9.275   10.440   10.440   10.480 0.967   1.137   1.142 0.972   1.137   1.142 1.6525 0.0330865244473 
  1872         1.742   1.977   3.502   9.025   9.125   9.275   9.747   9.797   9.872 0.087   0.317   0.452 0.092   0.322   0.462 0.965 0.0207611993873 
  18732         2.037   2.037   2.037   8.775   8.775   8.775   9.302   9.312   9.317 0.212   0.217   0.232 0.227   0.232   0.247 0.38 0.011083964769 
  18767         2.087   2.087   2.087   9.075   9.075   9.075   10.240   10.250   10.250 0.308   0.298   0.293 0.293   0.283   0.278 1.52 0.0281749086068 
  18821         3.182   3.567   4.072   8.825   8.825   8.875   10.810   10.830   10.830 1.572   1.717   1.792 1.457   1.717   1.797 2.1425 0.042134179712 
  1886         1.967   3.037   3.492   8.725   8.825   9.075   10.020   10.070   10.160 0.812   0.947   1.097 0.812   0.952   1.222 2.075 0.0406484744486 
  18908         0.717   1.977   2.217   8.725   8.875   9.025   9.642   9.697   9.742 0.487   0.587   0.667 0.487   0.592   0.682 0.43 0.0118130976039 
  18941         4.007   4.007   4.007   9.425   9.425   9.425   10.590   10.590   10.590 0.393   0.393   0.393 0.383   0.383   0.383 1.85875 0.0343372625583 
  18946         1.152   1.152   1.347   8.825   8.925   8.925   9.242   9.247   9.257 0.062   0.062   0.177 0.072   0.072   0.177 0.42 0.0097535262854 
  190         0.847   0.847   0.847   8.975   8.975   8.975   9.567   9.582   9.582 0.312   0.317   0.327 0.317   0.322   0.332 0.2875 0.00720772328825 
  19133         0.872   0.917   0.917   8.375   8.375   8.425   8.867   8.877   8.902 0.287   0.302   0.312 0.297   0.307   0.317 0.17 0.00716828256977 
  19136         0.587   0.712   1.412   8.775   8.825   9.025   9.832   9.877   9.997 0.792   0.847   0.882 0.797   0.857   0.887 0.315 0.00878500996015 
  19176         0.202   0.382   0.492   8.525   8.875   9.125   9.042   9.202   9.312 0.047   0.102   0.307 0.047   0.112   0.317 0.085 0.00296315288164 
  1918         2.587   2.587   2.587   9.525   9.525   9.525   10.620   10.630   10.640 0.577   0.587   0.597 0.582   0.592   0.602 0.945 0.0203933199847 
  19202         1.107   1.232   3.257   8.725   8.875   8.875   9.147   9.172   9.182 0.043   0.013   0.107 0.013   0.002   0.232 0.68 0.0147824930238 
  19422         1.667   2.452   3.482   9.125   9.325   9.325   10.360   10.490   10.500 0.832   0.982   1.082 0.832   0.992   1.117 1.04 0.0217169887415 
  19508         4.302   4.302   4.302   8.625   8.625   8.625   10.910   10.910   10.910 2.052   2.052   2.052 2.067   2.067   2.067 4.3925 0.0819092990753 
  19633         1.362   1.557   2.242   8.575   8.925   8.925   9.927   10.040   10.070 0.822   0.902   1.087 0.832   0.907   1.087 0.495 0.013428979857 
