# ID_0    tau_v16_0   tau_v50_0   tau_v84_0  Mstar16_0   Mstar50_0   Mstar84_0   SFR16_0   SFR50_0   SFR84_0 
  22833         1.277   1.602   1.772   9.512   9.547   9.647   1.278   0.458   0.422
  22834         3.277   3.632   3.632   10.600   10.650   10.650   0.602   1.782   1.782
  22847         2.027   2.027   2.027   10.290   10.320   10.330   0.318   0.308   0.298
  22857         0.697   0.887   1.817   9.917   9.957   10.010   0.537   0.647   0.747
  22919         4.352   4.352   4.352   10.750   10.750   10.750   0.372   0.372   0.372
  23053         0.842   1.392   3.237   9.942   9.992   10.040   1.102   1.292   1.452
  23086         1.307   1.307   1.307   9.407   9.432   9.442   0.647   0.662   0.672
  23156         0.527   0.527   0.527   9.432   9.432   9.437   0.032   0.032   0.037
  23250         1.217   2.457   5.697   9.687   9.787   9.802   0.108   0.287   0.347
  23316         1.947   3.037   4.542   10.100   10.110   10.180   0.098   0.053   0.537
  23351         0.222   0.222   0.222   9.652   9.657   9.662   0.493   0.488   0.483
  23441         2.432   2.817   3.332   10.300   10.330   10.390   0.907   0.942   1.092
  23451         0.427   0.942   0.942   9.267   9.287   9.382   0.227   0.292   0.307
  23491         0.677   0.677   0.677   9.807   9.812   9.817   0.738   0.733   0.728
  23570         2.712   2.712   2.712   9.382   9.387   9.392   0.782   0.792   0.802
  23579         2.477   2.477   2.477   10.460   10.460   10.460   0.262   0.262   0.262
  23685         0.357   1.237   3.147   9.297   9.437   9.472   0.667   0.687   0.837
  23720         0.977   1.127   1.127   8.992   8.997   9.012   0.127   0.182   0.187
  23761         2.072   2.072   3.957   10.580   10.780   10.790   0.282   0.297   0.987
  23795         0.662   1.447   1.447   10.460   10.710   10.730   0.158   0.172   0.187
  23817         0.722   0.927   4.272   8.972   9.017   9.032   0.642   0.667   0.687
  23844         0.072   1.092   1.092   9.407   9.412   9.662   0.302   0.702   0.707
  23851         0.482   0.482   0.482   8.752   8.757   8.767   0.217   0.222   0.227
  23855         1.947   2.117   3.382   10.040   10.060   10.090   0.807   0.877   0.967
  23882         1.282   3.087   3.087   9.452   9.477   9.687   0.523   0.498   0.217
  239         0.192   0.192   0.232   9.222   9.237   9.297   0.013   0.007   0.037
  23903         0.272   0.272   0.272   8.922   8.927   8.932   0.332   0.337   0.342
  23927         2.042   2.307   4.137   10.140   10.340   10.460   0.128   0.103   0.677
  23941         0.917   1.067   1.067   8.977   8.987   9.067   0.322   0.542   0.557
  24066         0.407   0.407   0.407   8.837   8.847   8.857   0.312   0.322   0.332
  24130         0.752   1.102   1.747   10.680   10.880   10.930   0.088   0.312   0.422
  24144         1.127   1.127   2.757   9.167   9.182   9.207   0.162   0.177   0.387
  24185         0.717   1.377   2.487   10.270   10.320   10.370   0.827   0.932   1.017
  24257         0.617   0.942   2.072   9.497   9.542   9.657   0.557   0.587   0.807
  24313         1.157   1.157   1.157   9.707   9.707   9.717   0.258   0.258   0.248
  24316         1.627   3.067   3.177   10.270   10.290   10.310   1.072   1.297   1.382
  24336         2.602   2.602   2.602   9.077   9.077   9.087   1.023   1.023   1.013
  24348         2.662   2.662   2.662   11.060   11.060   11.070   0.228   0.228   0.223
  24354         2.457   3.392   3.427   10.410   10.450   10.500   1.167   1.422   1.497
  24355         1.402   2.952   2.952   9.537   9.697   9.697   1.202   1.267   1.267
  24372         2.117   2.117   2.117   10.880   10.890   10.890   0.633   0.628   0.623
  24389         0.077   0.077   0.077   9.312   9.312   9.312   0.028   0.028   0.028
  24408         0.867   3.912   3.912   9.712   9.727   9.872   1.333   1.313   0.948
  24497         4.187   4.187   4.187   10.960   10.960   10.980   2.177   2.177   2.202
  24511         1.702   2.337   3.957   9.812   9.842   9.902   0.362   0.582   0.757
  24720         0.582   4.037   4.037   9.282   9.302   9.312   0.262   0.272   0.437
  24779         2.022   2.867   2.867   10.930   11.060   11.100   1.477   1.797   1.812
  24785         0.472   0.472   0.472   8.942   8.942   8.952   0.312   0.312   0.322
  24786         0.937   0.947   0.947   9.017   9.027   9.097   0.577   0.587   0.597
  24814         0.572   0.572   0.572   9.537   9.547   9.557   0.587   0.597   0.607
  24851         1.047   1.277   2.037   9.157   9.217   9.262   0.278   0.108   0.032
  24862         3.337   3.337   3.337   10.510   10.520   10.530   0.748   0.743   0.733
  24943         1.527   2.392   3.342   10.240   10.270   10.300   0.167   1.237   1.422
  25         0.157   0.157   0.157   9.692   9.702   9.717   0.032   0.042   0.057
  25028         0.647   0.647   1.207   9.457   9.522   9.532   0.643   0.633   0.567
  25037         2.492   2.492   3.007   10.090   10.250   10.260   1.347   1.572   1.587
  25060         3.197   3.197   3.197   10.840   10.840   10.850   0.233   0.228   0.223
  25120         2.552   2.942   3.762   10.260   10.300   10.330   1.392   1.547   1.582
  25137         1.197   1.222   2.017   9.672   9.727   9.767   0.942   0.952   1.307
  25206         1.637   1.637   1.637   11.560   11.570   11.570   1.047   1.057   1.062
